Country,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population (2023),GDP per capita,Share of World GDP per
United States,27720700000000.0,2772100000000.0,2.89,343477335,80706.0,26.11
China,17794800000000.0,1779500000000.0002,5.25,1422584933,12509.0,16.76
Germany,4525700000000.0,452600000000.0,-0.27,84548231,53528.0,4.26
Japan,4204490000000.0,420400000000.0,1.68,124370947,33806.0,3.96
India,3567550000000.0,356800000000.0,8.15,1438069596,2481.0,3.36
United Kingdom,3380850000000.0,338100000000.0,0.34,68682962,49224.0,3.18
France,3051830000000.0,305200000000.0,0.94,66438822,45934.0,2.87
Italy,2300940000000.0,230100000000.00003,0.7,59499453,38672.0,2.17
Brazil,2173670000000.0,217400000000.0,2.91,211140729,10295.0,2.05
Canada,2142470000000.0,214200000000.0,1.25,39299105,54517.0,2.02
Russia,2021420000000.0,202100000000.0,3.6,145440500,13899.0,1.9
Mexico,1789110000000.0,178900000000.0,3.2,129739759,13790.0,1.69
Australia,1728060000000.0,172800000000.0,3.44,26451124,65330.0,1.63
South Korea,1712790000000.0,171300000000.0,1.36,51748739,33098.0,1.61
Spain,1620090000000.0,162000000000.0,2.68,47911579,33814.0,1.53
Indonesia,1371170000000.0,137100000000.0,5.05,281190067,4876.0,1.29
Netherlands,1154360000000.0,115399999999.99998,0.07,18092524,63803.0,1.09
Turkey,1118250000000.0,111800000000.00002,5.11,87270501,12814.0,1.05
Saudi Arabia,1067580000000.0,106800000000.0,-0.76,33264292,32094.0,1.01
Switzerland,884940000000.0,884940000000.0,0.72,8870561,99761.0,0.83
Poland,809201000000.0,809201000000.0,0.14,38762844,20876.0,0.76
Argentina,646075000000.0,646075000000.0,-1.61,45538401,14187.0,0.61
Belgium,644783000000.0,644783000000.0,1.25,11712893,55049.0,0.61
Sweden,584960000000.0,584960000000.0,-0.31,10551494,55439.0,0.55
Ireland,551395000000.0,551395000000.0,-5.53,5196630,106106.0,0.52
Thailand,514969000000.0,514969000000.00006,1.89,71702435,7182.0,0.49
United Arab Emirates,514130000000.0,514130000000.0,3.62,10642081,48311.0,0.48
Israel,513611000000.0,513611000000.0,2.42,9256314,55488.0,0.48
Austria,511685000000.0,511685000000.0,-0.95,9130429,56042.0,0.48
Singapore,501428000000.0,501428000000.0,1.07,5789090,86616.0,0.47
Norway,485311000000.0,485311000000.0,0.48,5519167,87932.0,0.46
Bangladesh,437415000000.0,437415000000.0,5.78,171466990,2551.0,0.41
Philippines,437146000000.0,437146000000.0,5.55,114891199,3805.0,0.41
Vietnam,429717000000.0,429717000000.0,5.05,100352192,4282.0,0.4
Denmark,407092000000.0,407092000000.0,2.5,5948136,68440.0,0.38
Iran,404626000000.0,404626000000.0,5.04,90608707,4466.0,0.38
Malaysia,399705000000.0,399705000000.0,3.56,35126298,11379.0,0.38
Egypt,396002000000.0,396002000000.0,3.76,114535772,3457.0,0.37
Hong Kong,380812000000.0,380812000000.0,3.28,7442734,51166.0,0.36
South Africa,380699000000.0,380699000000.0,0.7,63212384,6023.0,0.36
Nigeria,363846000000.0,363846000000.0,2.86,227882945,1597.0,0.34
Colombia,363494000000.0,363494000000.0,0.61,52321152,6947.0,0.34
Romania,350776000000.0,350776000000.0,2.4,19118479,18347.0,0.33
Czech Republic (Czechia),343208000000.0,343208000000.0,-0.09,10809716,31750.0,0.32
Pakistan,337912000000.0,337912000000.0,-0.04,247504495,1365.0,0.32
Chile,335533000000.0,335533000000.0,0.22,19658835,17068.0,0.32
Finland,295532000000.0,295532000000.0,-1.16,5601185,52762.0,0.28
Portugal,289114000000.0,289114000000.0,2.53,10430738,27718.0,0.27
Peru,267603000000.0,267603000000.0,-0.55,33845617,7907.0,0.25
Kazakhstan,262642000000.0,262642000000.0,5.1,20330104,12919.0,0.25
New Zealand,252176000000.0,252176000000.0,0.73,5172836,48750.0,0.24
Iraq,250843000000.0,250843000000.0,-2.94,45074049,5565.0,0.24
Algeria,247626000000.0,247626000000.0,4.1,46164219,5364.0,0.23
Greece,243498000000.0,243498000000.0,2.33,10242908,23772.0,0.23
Qatar,213003000000.0,213003000000.0,1.19,2979082,71500.0,0.2
Hungary,212389000000.0,212389000000.0,-0.91,9686463,21926.0,0.2
Ukraine,178757000000.0,178757000000.0,5.32,37732836,4737.0,0.17
Kuwait,163705000000.0,163705000000.0,-3.64,4838782,33832.0,0.15
Ethiopia,163698000000.0,163698000000.0,6.5,128691692,1272.0,0.15
Morocco,144417000000.0,144417000000.0,3.4,37712505,3829.0,0.14
Slovakia,132908000000.0,132907999999.99998,1.38,5518055,24086.0,0.13
Dominican Republic,121444000000.0,121444000000.0,2.36,11331265,10718.0,0.11
Ecuador,118845000000.0,118845000000.0,2.36,17980083,6610.0,0.11
Sudan,109266000000.0,109266000000.0,-20.11,50042791,2183.0,0.1
Oman,108811000000.0,108811000000.0,1.31,5049269,21550.0,0.1
Kenya,108039000000.0,108039000000.0,5.56,55339003,1952.0,0.1
Guatemala,104450000000.0,104450000000.0,3.53,18124838,5763.0,0.098
Bulgaria,102408000000.0,102408000000.0,1.89,6795803,15069.0,0.096
Uzbekistan,101592000000.0,101592000000.0,6.29,35652307,2850.0,0.096
Costa Rica,86497941439.0,86498000000.0,5.11,5105525,16942.0,0.081
Luxembourg,85755006124.0,85755000000.0,-1.1,665098,128936.0,0.081
Angola,84824654482.0,84825000000.0,1.0,36749906,2308.0,0.08
Croatia,84393795502.0,84394000000.0,3.3,3896023,21662.0,0.079
Sri Lanka,84356863744.0,84357000000.0,-2.3,22971617,3672.0,0.079
Panama,83318176900.0,83318000000.0,7.4,4458759,18686.0,0.078
Serbia,81342660752.0,81343000000.0,3.85,6773201,12009.0,0.077
Lithuania,79789877416.0,79790000000.0,0.34,2854099,27956.0,0.075
Tanzania,79062403821.0,79062000000.0,5.07,66617606,1187.0,0.074
C̫te d'Ivoire,78875489245.0,78875000000.0,6.2,31165654,2531.0,0.074
Uruguay,77240830877.0,77241000000.0,0.37,3388081,22798.0,0.073
Ghana,76370396722.0,76370000000.0,2.94,33787914,2260.0,0.072
Azerbaijan,72356176471.0,72356000000.0,1.12,10318207,7012.0,0.068
Belarus,71857382746.0,71857000000.0,3.89,9115680,7883.0,0.068
Slovenia,69148468417.0,69148000000.0,2.11,2118396,32642.0,0.065
Myanmar,66757619000.0,66757999999.99999,0.96,54133798,1233.0,0.063
DR Congo,66383287003.0,66382999999.99999,8.56,105789731,628.0,0.063
Turkmenistan,60628857143.0,60629000000.0,6.3,7364438,8233.0,0.057
Jordan,50967475352.0,50967000000.0,2.68,11439213,4456.0,0.048
Cameroon,49279410983.0,49279000000.0,3.25,28372687,1737.0,0.046
Uganda,48768955863.0,48769000000.0,5.34,48656601,1002.0,0.046
Tunisia,48529595417.0,48530000000.0,0.04,12200431,3978.0,0.046
Bahrain,46079867021.0,46080000000.0,2.98,1569666,29356.0,0.043
Macao,45803067940.0,45803000000.0,75.06,713912,64158.0,0.043
Bolivia,45135398009.0,45135000000.0,3.08,12244159,3686.0,0.043
Libya,45096462972.0,45096000000.0,10.16,7305659,6173.0,0.042
Paraguay,42956263544.0,42956000000.0,4.71,6844146,6276.0,0.04
Cambodia,42335646896.0,42336000000.0,4.96,17423880,2430.0,0.04
Latvia,42247850065.0,42248000000.0,1.71,1882396,22444.0,0.04
Estonia,41291245222.0,41291000000.0,-3.02,1367196,30201.0,0.039
Nepal,40908073367.0,40908000000.0,1.95,29694614,1378.0,0.039
Zimbabwe,35231367886.0,35231000000.0,5.34,16340822,2156.0,0.033
Honduras,34400509852.0,34401000000.0,3.58,10644851,3232.0,0.032
El Salvador,34015620000.0,34016000000.0,3.51,6309624,5391.0,0.032
Cyprus,33886930712.0,33887000000.0,2.61,1344976,25195.0,0.032
Iceland,31325116556.0,31325000000.0,5.04,387558,80827.0,0.03
Senegal,30848333084.0,30848000000.0,4.58,18077573,1706.0,0.029
Georgia,30777833585.0,30778000000.0,7.83,3807492,8083.0,0.029
Papua New Guinea,30729242919.0,30729000000.0,3.04,10389635,2958.0,0.029
Zambia,27577956471.0,27578000000.0,5.37,20723965,1331.0,0.026
Bosnia and Herzegovina,27514782476.0,27515000000.0,2.21,3185073,8639.0,0.026
Trinidad and Tobago,27372285698.0,27372000000.0,1.35,1502932,18213.0,0.026
Armenia,24085749592.0,24086000000.0,8.3,2943393,8183.0,0.023
Albania,23547179830.0,23547000000.0,3.94,2811655,8375.0,0.022
Malta,22328640242.0,22329000000.0,7.5,532956,41896.0,0.021
Guinea,22199409741.0,22199000000.0,6.74,14405468,1541.0,0.021
Mozambique,20954220984.0,20954000000.0,5.44,33635160,623.0,0.02
Mali,20661794596.0,20662000000.0,4.66,23769127,869.0,0.019
Mongolia,20325121394.0,20325000000.0,7.42,3431932,5922.0,0.019
Burkina Faso,20324617845.0,20325000000.0,2.96,23025776,883.0,0.019
Haiti,19850829758.0,19851000000.0,-1.86,11637398,1706.0,0.019
Benin,19676049076.0,19676000000.0,6.35,14111034,1394.0,0.019
Jamaica,19423355409.0,19423000000.0,2.2,2839786,6840.0,0.018
Botswana,19396084498.0,19396000000.0,2.73,2480244,7820.0,0.018
Gabon,19388402542.0,19388000000.0,2.45,2484789,7803.0,0.018
Nicaragua,17829218219.0,17829000000.0,4.57,6823613,2613.0,0.017
State of Palestine,17420800000.0,17421000000.0,-5.41,5409202,3221.0,0.016
Afghanistan,17233051620.0,17233000000.0,2.71,41454761,416.0,0.016
Guyana,17159509565.0,17160000000.0,33.8,826353,20765.0,0.016
Niger,16819170421.0,16819000000.0,2.5,26159867,643.0,0.016
Moldova,16539436547.0,16539000000.000002,0.78,3067070,5393.0,0.016
Laos,15843155731.0,15843000000.0,3.75,7664993,2067.0,0.015
Madagascar,15790113247.0,15790000000.0,3.8,31195932,506.0,0.015
North Macedonia,15763621848.0,15764000000.0,2.07,1831802,8606.0,0.015
Congo,15321055823.0,15321000000.0,1.91,6182885,2478.0,0.014
Brunei,15128292981.0,15128000000.0,1.41,458949,32963.0,0.014
Mauritius,14644524819.0,14645000000.0,6.96,1273588,11499.0,0.014
Bahamas,14338500000.0,14338000000.0,2.64,399440,35897.0,0.014
Rwanda,14097768472.0,14098000000.0,8.24,13954471,1010.0,0.013
Kyrgyzstan,13987627909.0,13988000000.0,6.15,7073516,1977.0,0.013
Chad,13149325362.0,13149000000.0,4.12,19319064,681.0,0.012
Malawi,12712150082.0,12712000000.0,1.89,21104482,602.0,0.012
Namibia,12351025067.0,12351000000.0,4.16,2963095,4168.0,0.012
Equatorial Guinea,12337550584.0,12338000000.0,-5.09,1847549,6678.0,0.012
Tajikistan,12060602009.0,12061000000.0,8.3,10389799,1161.0,0.011
Mauritania,10651709411.0,10652000000.0,6.51,5022441,2121.0,0.01
Togo,9171261838.0,9171000000.0,6.41,9304337,986.0,0.0086
Montenegro,7530593375.0,7531000000.0,6.34,633552,11886.0,0.0071
Barbados,6720733200.0,6721000000.0,4.09,282336,23804.0,0.0063
Maldives,6590894302.0,6591000000.0,4.73,525994,12530.0,0.0062
Sierra Leone,6411869546.0,6412000000.0,5.71,8460512,758.0,0.006
Fiji,5442046565.0,5442000000.0,7.52,924145,5889.0,0.0051
Eswatini,4442875788.0,4443000000.0,5.01,1230506,3611.0,0.0042
Liberia,4240000000.0,4240000000.0,4.68,5493031,772.0,0.004
Andorra,3785067332.0,3785000000.0,2.58,80856,46812.0,0.0036
Aruba,3648573136.0,3649000000.0,4.26,107939,33802.0,0.0034
Suriname,3455146281.0,3455000000.0,2.54,628886,5494.0,0.0033
Belize,3066850000.0,3067000000.0,1.15,411106,7460.0,0.0029
Burundi,2642161669.0,2642000000.0,2.7,13689450,193.0,0.0025
Central African Republic,2555492085.0,2555000000.0,0.87,5152421,496.0,0.0024
Cabo Verde,2533819406.0,2534000000.0,5.48,522331,4851.0,0.0024
Saint Lucia,2430148148.0,2430000000.0,2.21,179285,13555.0,0.0023
Gambia,2396111022.0,2396000000.0,4.8,2697845,888.0,0.0023
Seychelles,2141450171.0,2141000000.0,3.16,127951,16736.0,0.002
Lesotho,2117962451.0,2118000000.0,1.83,2311472,916.0,0.002
Timor-Leste,2079916900.0,2080000000.0,-18.12,1384286,1503.0,0.002
Guinea-Bissau,2048348108.0,2048000000.0,5.2,2153339,951.0,0.0019
Antigua and Barbuda,2033085185.0,2033000000.0,3.86,93316,21787.0,0.0019
Solomon Islands,1633319401.0,1633000000.0,3.08,800005,2042.0,0.0015
Comoros,1352380971.0,1352000000.0,3.0,850387,1590.0,0.0013
Grenada,1316733333.0,1317000000.0,3.57,117081,11246.0,0.0012
Vanuatu,1126313359.0,1126000000.0,2.21,320409,3515.0,0.0011
St. Vincent & Grenadines,1065962963.0,1066000000.0,6.02,101323,10520.0,0.001
Saint Kitts & Nevis,1055499778.0,1054999999.9999999,2.28,46758,22574.0,0.00099
Samoa,938189444.0,938189000.0,8.58,216663,4330.0,0.00088
Sao Tome & Principe,678976265.0,678976000.0,0.37,230871,2941.0,0.00064
Dominica,653992593.0,653993000.0,4.71,66510,9833.0,0.00062
Micronesia,460000000.0,460000000.0,0.78,112630,4084.0,0.00043
Palau,281849063.0,281849000.0,1.88,17727,15899.0,0.00027
Kiribati,279208903.0,279209000.0,4.12,132530,2107.0,0.00026
Marshall Islands,259300000.0,259300000.0,-3.93,38827,6678.0,0.00024
Tuvalu,62280312.0,62280000.0,3.85,9816,6345.0,5.9e-05
